DPO,-41.173925,146.428553
DU,-32.219528,148.577708
DU,-32.217531,148.559094
DYS,-22.5975,148.351111
EBA,31.705861,9.254667
ECA,-50.278333,-72.045556
ECA,-50.284722,-72.05
ELB,42.730686,10.395725
ELB,42.7325,10.393889
ELO,33.510556,6.780556
ELO,33.506278,6.787772
EML,-23.5675,148.171111
ENO,68.381267,23.461758
EQU,-16.338889,-71.5975
ERO,-32.738889,-71.496667
ESL,-38.102222,147.154444
ESL,-38.111389,147.159444
ESQ,-42.887222,-71.100278
EVD,68.457306,16.681714
EVS,68.491289,16.675064
FAG,-23.466944,-70.447778
FBS,-33.364167,147.927778
FGI,41.502194,9.083417
FGN,-14.777333,-57.1935
FIL,-22.359167,-60.035
FLI,-40.095631,148.014844
FLU,-22.648889,-40.428611
FOR,70.720389,23.832283
FPB,-12.431,-64.4255
FRC,-20.583667,-47.3825
FRZ,44.027222,11.003333
FS,68.5986,16.67071
FTR,-20.276953,-49.189594
FUR,-20.703925,-46.337853
G,-51.607028,-69.274111
GA,67.64,53.125
GAB,33.732194,9.920194
GAD,30.165,9.742222
GAF,34.420639,8.824083
GAL,-51.610986,-69.330167
GAL,-51.625,-69.284444
GAL,28.693889,21.439444
GAY,-25.595,151.673056
GBA,-29.596661,152.178039
GDH,-30.954167,150.248333
GDI,-28.5225,150.326389
GEN,44.424356,9.082083
GEN,44.423839,9.083336
GFN,-29.759722,153.0275
GHA,32.393333,3.777778
GHA,32.374722,3.794167
GHT,25.146814,10.138942
GHT,25.188611,10.137778
GIR,41.931178,2.771967
GLA,-23.865278,151.204444
GLA,-23.871944,151.225556
GLB,-34.807222,149.737222
GLF,-33.986667,150.976389
GLI,-29.672222,151.695
GNR,-38.983056,-67.601111
GRA,-53.775289,-67.745839
GRA,-53.785,-67.760833
GRE,-48.783056,-70.161389
GRN,42.024978,2.807211
GRO,42.760342,11.077353
GRO,42.705278,11.025278
GRS,35.209372,0.148914
GRS,35.208333,0.16
GRT,30.394722,13.585833
GW,29.533333,12.833333
HB,-42.847125,147.526667
